High Blood Pressure,Instead of specific hypertension codes.
Common Cold,For a range of upper respiratory tract infections.
Type 2 Diabetes,As a general term for adult-onset diabetes.
Asthma,Covering various types of asthma.
Migraine,For various migraine disorders.
Major Depression,As a simplified term for major depressive disorder.
Anxiety Disorders,Encompassing various anxiety-related conditions.
Osteoarthritis,For joint disorders related to wear and tear.
Allergic Rhinitis,Commonly known as hay fever.
Reflux Disease,Simplifying gastroesophageal reflux disease (GERD).
Skin Acne,For various types of acne vulgaris.
Seasonal Allergies,Covering allergic reactions to pollen or mold.
Eczema,For atopic dermatitis and related skin conditions.
Influenza,Simplifying various strains of the flu.
Urinary Tract Infection (UTI),For infections affecting the urinary system.
Conjunctivitis,Commonly known as pink eye.
Lower Back Pain,For nonspecific backaches and lumbar region pain.
Chickenpox,For the varicella-zoster virus infection.
Iron Deficiency Anemia,For anemia caused by lack of iron.
Thyroid Disorders,Encompassing hypothyroidism and hyperthyroidism.
Chronic Sinusitis,For long-term sinus inflammation.
Sleep Disorders,Including insomnia and sleep apnea.
Attention Deficit Hyperactivity Disorder (ADHD),For attention-related disorders.
Gastritis,For inflammation of the stomach lining.
Food Poisoning,Covering common gastrointestinal infections from food.
Osteoporosis,For bone density and strength issues.
Pneumonia,For lung infections causing breathing difficulties.
Sunburn,For skin damage from excessive sun exposure.
Tonsillitis,For inflammation of the tonsils.
Varicose Veins,"For enlarged veins, often in the legs."
Carpal Tunnel Syndrome,For nerve compression in the wrist causing hand pain and numbness.
Gout,"For a form of arthritis characterized by severe pain, redness, and tenderness in joints."
Celiac Disease,"For a condition triggered by consuming gluten, leading to digestive issues."
Melanoma,For a type of skin cancer.
Hepatitis,Covering infections that affect the liver.
Kidney Stones,For hard deposits made of minerals and salts forming inside the kidneys.
Appendicitis,For inflammation of the appendix.
Bipolar Disorder,For a mental health condition causing extreme mood swings.
Schizophrenia,"For a mental disorder that affects a person's ability to think, feel, and behave clearly."
Post-Traumatic Stress Disorder (PTSD),For a mental health condition triggered by a terrifying event.
Tuberculosis,For a serious infectious disease that mainly affects the lungs.
Mononucleosis,"Often called 'mono' or the 'kissing disease,' a viral infection causing fever, sore throat, and fatigue."
Lyme Disease,"For a tick-borne illness that can cause fatigue, joint pain, and neurological problems."
Sciatica,"For pain that radiates along the path of the sciatic nerve, which branches from your lower back through your hips and buttocks and down each leg."
Glaucoma,"For a group of eye conditions that damage the optic nerve, crucial for good vision."
Cystic Fibrosis,For a hereditary disease that affects the lungs and digestive system.
Polycystic Ovary Syndrome (PCOS),For a hormonal disorder common among women of reproductive age.
Endometriosis,For a disorder in which tissue similar to the tissue that normally lines the inside of your uterus grows outside your uterus.
Chronic Obstructive Pulmonary Disease (COPD),For a group of lung diseases that block airflow and make it difficult to breathe.
Pancreatitis,For inflammation of the pancreas.
Rheumatoid Arthritis,For an autoimmune disorder that causes chronic inflammation of joints.
Rheumatoid Arthritis,For an autoimmune disorder that causes chronic inflammation of joints.
Multiple Sclerosis,For a disease in which the immune system eats away at the protective covering of nerves.
Parkinson's Disease,"For a brain disorder that leads to shaking, stiffness, and difficulty with walking, balance, and coordination."
Meningitis,"For inflammation of the brain and spinal cord membranes, typically caused by an infection."
Mumps,For a viral infection that affects the salivary glands.
Measles,For a highly contagious infectious disease causing fever and a red rash.
Whooping Cough (Pertussis),For a highly contagious respiratory tract infection.
Scarlet Fever,"For a disease resulting from a group A streptococcus infection, known for its bright red rash."
Rabies,For a deadly virus spread to people from the saliva of infected animals.
Heartburn,For discomfort or burning sensation caused by gastric acid reflux.
Insomnia,For difficulty falling asleep or staying asleep.
Dehydration,For the condition resulting from excessive loss of body water.
Heatstroke,For a severe heat illness resulting from high body temperatures and dehydration.
Frostbite,For injury to body tissues caused by extreme cold.
Hypothermia,For a medical emergency that occurs when your body loses heat faster than it can produce heat.
Concussion,For a brain injury caused by a blow to the head or a sudden jolt.
Sprain,For an injury to a ligament caused by tearing the fibers of the ligament.
Strain,For an injury to a muscle or tendon in which the muscle fibers tear as a result of overstretching.
Bruise,For an injury resulting in bleeding under the skin without breaking the skin.
Burns,"For injuries to tissues caused by heat, chemicals, electricity, sunlight, or radiation."
Acid Reflux,For a condition in which stomach acid frequently flows back into the tube connecting your mouth and stomach.
Gingivitis,"For a common and mild form of gum disease (periodontal disease) that causes irritation, redness, and swelling of your gingiva."
Periodontitis,For a serious gum infection that damages the soft tissue and destroys the bone that supports your teeth.
Otitis Media,For an infection of the air-filled space behind the eardrum containing the tiny vibrating bones of the ear.
